"composer_name","composer_cat_name","composer_page_id","composer_ns"
"Anonymous","Category:Anonymous","1464","14"
"Collections","Category:Collections","297344","14"
"Traditional","Category:Traditional","276144","14"
"Various","Category:Various","6769","14"
"A., Jag","Category:A., Jag","81018","14"
"Aagesen, Truid","Category:Aagesen, Truid","291633","14"
"Aalst, J. A. van","Category:Aalst, J. A. van","437896","14"
"Aarons, Alfred E.","Category:Aarons, Alfred E.","401127","14"
"Abbatini, Antonio Maria","Category:Abbatini, Antonio Maria","134760","14"
"Abbey, Alonzo Judson","Category:Abbey, Alonzo Judson","322063","14"
"Abbiate, Louis","Category:Abbiate, Louis","43982","14"
"Abbott, Simon Alexander","Category:Abbott, Simon Alexander","215792","14"
"Abeelen, Henri van den","Category:Abeelen, Henri van den","353519","14"
"Abel, Carl Friedrich","Category:Abel, Carl Friedrich","29917","14"
"Abel, Ludwig","Category:Abel, Ludwig","243033","14"
"Abela, Placido","Category:Abela, Placido","129320","14"
"Abelardo, Nicanor","Category:Abelardo, Nicanor","94777","14"
"Abell, John","Category:Abell, John","452890","14"
"Abert, Hermann","Category:Abert, Hermann","163688","14"
"Abert, Johann Joseph","Category:Abert, Johann Joseph","66152","14"
"Abesser, Edmund","Category:Abesser, Edmund","195075","14"
"Abing","Category:Abing","76658","14"
"Abos, Girolamo","Category:Abos, Girolamo","174763","14"
"Aboyan, Gayk","Category:Aboyan, Gayk","235426","14"
"Abrahams, V.","Category:Abrahams, V.","353524","14"
"Abramson, Joshua M.","Category:Abramson, Joshua M.","216797","14"
"Abreu, Pedro Miguel","Category:Abreu, Pedro Miguel","409888","14"
"Abreu, Zequinha","Category:Abreu, Zequinha","353527","14"
"Abril Tirado, Pedro","Category:Abril Tirado, Pedro","70692","14"
"Abt, Franz","Category:Abt, Franz","70411","14"
"Accolay, Jean-Baptiste","Category:Accolay, Jean-Baptiste","13075","14"
"Aceves y Lozano, Rafael","Category:Aceves y Lozano, Rafael","448333","14"
"Achron, Joseph","Category:Achron, Joseph","72601","14"
"Ackerman, Daryle Stephen","Category:Ackerman, Daryle Stephen","300857","14"
"Acosta, Paul d'","Category:Acosta, Paul d'","204102","14"
"Adair, Mildred","Category:Adair, Mildred","353532","14"
"Adalid, Marcial del","Category:Adalid, Marcial del","353536","14"
"Adam, Adolphe","Category:Adam, Adolphe","70415","14"
"Adam, Johann","Category:Adam, Johann","226927","14"
"Adam, Louis","Category:Adam, Louis","385792","14"
"Adamic, Emil","Category:Adamic, Emil","296068","14"
"Adams I, Thomas","Category:Adams I, Thomas","254550","14"
"Adams II, Thomas","Category:Adams II, Thomas","254552","14"
"Adams, Abraham","Category:Adams, Abraham","442272","14"
"Adams, Arthur","Category:Adams, Arthur","332611","14"
"Adams, Clifford","Category:Adams, Clifford","353541","14"
"Adams, E. Franklin","Category:Adams, E. Franklin","183421","14"
"Adams, Ernest Harry","Category:Adams, Ernest Harry","332652","14"
"Adams, G","Category:Adams, G","123944","14"
"Adams, G. W.","Category:Adams, G. W.","353546","14"
"Adams, Joseph H.","Category:Adams, Joseph H.","353549","14"
"Adams, Mrs. Crosby","Category:Adams, Mrs. Crosby","123479","14"
"Adams, O. S.","Category:Adams, O. S.","353553","14"
"Adams, William P.","Category:Adams, William P.","353564","14"
"Adamson, G. M.","Category:Adamson, G. M.","353567","14"
"Adayevskaya, Ella Georgiyevna","Category:Adayevskaya, Ella Georgiyevna","403756","14"
"Adcock, Mrs. St. John","Category:Adcock, Mrs. St. John","354635","14"
"Ademollo, Alessandro","Category:Ademollo, Alessandro","220964","14"
"Adgate, Andrew","Category:Adgate, Andrew","87441","14"
"Adhémar, Comte Abel d'","Category:Adhémar, Comte Abel d'","417879","14"
"Adiego Navarro, Tomás","Category:Adiego Navarro, Tomás","117089","14"
"Adlam, Frank","Category:Adlam, Frank","354650","14"
"Adler, Bernard","Category:Adler, Bernard","177976","14"
"Adler, C. A.","Category:Adler, C. A.","354653","14"
"Adler, Simon","Category:Adler, Simon","354656","14"
"Adlgasser, Anton Cajetan","Category:Adlgasser, Anton Cajetan","90656","14"
"Adriaenssen, Emanuel","Category:Adriaenssen, Emanuel","248220","14"
"Adrianus, Gerard Nathanael","Category:Adrianus, Gerard Nathanael","27765","14"
"Adson, John","Category:Adson, John","144548","14"
"Aerlyn-Crook, Jesse","Category:Aerlyn-Crook, Jesse","182019","14"
"Afanasyev, Nikolay","Category:Afanasyev, Nikolay","224663","14"
"Afferni, Ugo","Category:Afferni, Ugo","456704","14"
"Agazzari, Agostino","Category:Agazzari, Agostino","122754","14"
"Aggházy, Carolus","Category:Aggházy, Carolus","354659","14"
"Agincour, François d'","Category:Agincour, François d'","203584","14"
"Agnesi, Maria Teresa","Category:Agnesi, Maria Teresa","45277","14"
"Agnew, Roy","Category:Agnew, Roy","20909","14"
"Agostini, Mezio","Category:Agostini, Mezio","413901","14"
"Agostini, Paolo","Category:Agostini, Paolo","105373","14"
"Agostini, Pier Simone","Category:Agostini, Pier Simone","282779","14"
"Agrati, Alberto","Category:Agrati, Alberto","354662","14"
"Agrell, Johan","Category:Agrell, Johan","6420","14"
"Agresta, Agostino","Category:Agresta, Agostino","170818","14"
"Agricola, Alexander","Category:Agricola, Alexander","95645","14"
"Agricola, Johann Friedrich","Category:Agricola, Johann Friedrich","364607","14"
"Agricola, Martin","Category:Agricola, Martin","85731","14"
"Aguado, Dionisio","Category:Aguado, Dionisio","47631","14"
"Aguilar, Emanuel","Category:Aguilar, Emanuel","205098","14"
"Aguilera de Heredia, Sebastián","Category:Aguilera de Heredia, Sebastián","255306","14"
"Aguirre, Julián","Category:Aguirre, Julián","444896","14"
"Ahlborn, Alfred","Category:Ahlborn, Alfred","195050","14"
"Ahle, Johann Rudolf","Category:Ahle, Johann Rudolf","82678","14"
"Ahlert, Fred","Category:Ahlert, Fred","354667","14"
"Ahlström, Johan Alfred","Category:Ahlström, Johan Alfred","313824","14"
