"school_name","school_type","city","telephone0","telephone1","fax","website","email","formation_type","network_type","level","administrative_region","language","code","schoolboard","manager","address","city_province","postal_code"
"Centre d'éducation des adultes des Sommets","Éducation des adultes (public)","Magog","(819) 847-1610","(819) 847-1610","(819) 843-3837","http://www.csdessommets.qc.ca/ecoles/CEAMAGOG/index.htm","ceamagog@csdessommets.qc.ca","Générale","Public","Éducation des adultes","Estrie","Anglais, Français","753305","Commission scolaire des Sommets","Jacques Girard","277, rue Saint-Patrice Ouest","Magog (Québec)","J1X 1W4"
"Centre de formation professionnelle 24-Juin","Formation professionnelle (public)","Sherbrooke","(819) 822-5420","(819) 822-5420","(819) 822-6847","","24juin@csrs.qc.ca","Professionnelle","Public","Formation professionnelle","Estrie","Français","752470","Commission scolaire de la Région-de-Sherbrooke","Julie Caron","639, rue du 24-Juin","Sherbrooke (Québec)","J1E 1H1"
"Centre de formation professionnelle de l'Asbesterie","Formation professionnelle (public)","Asbestos","(819) 847-1610","(819) 847-1610","(819) 879-0474","","cfpasbestos@csdessommets.qc.ca","Professionnelle","Public","Formation professionnelle","Estrie","Français","753401","Commission scolaire des Sommets","Claude Carrier","340, boulevard Morin","Asbestos (Québec)","J1T 3C2"
"École de la Passerelle","Préscolaire et primaire (public)","Asbestos","(819) 847-1610","(819) 847-1610","(819) 879-5865","","LaPasserelle@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753003","Commission scolaire des Sommets","Chantal Landry","410, 1re Avenue","Asbestos (Québec)","J1T 1Z2"
"École de la Tourelle","Préscolaire et primaire (public)","Asbestos","(819) 847-1610","(819) 847-1610","(819) 879-5554","http://www.csdessommets.qc.ca/ecoles/tourelle/index.html","latourelle@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753006","Commission scolaire des Sommets","Serge Dion","180, rue Genest","Asbestos (Québec)","J1T 1A9"
"École secondaire de l'Escale","Secondaire (public)","Asbestos","(819) 847-1610","(819) 847-1610","(819) 879-6698","","lescale@csdessommets.qc.ca","Générale","Public","Secondaire","Estrie","Français","753012","Commission scolaire des Sommets","Cherif Milky","430, 5e Avenue","Asbestos (Québec)","J1T 1X2"
"École de la Source-Vive","Préscolaire et primaire (public)","Ascot Corner","(819) 822-5678","(819) 822-5678","(819) 823-3216","http://www.csrs.qc.ca/etablissements","sourcevive@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752037","Commission scolaire de la Région-de-Sherbrooke","Lison Ratté","125, rue du Collège","Ascot Corner (Québec)","J0B 1A0"
"Centre d'éducation des adultes de la Commission scolaire des Hauts-Cantons","Éducation des adultes (public)","East Angus","(819) 832-3637","(819) 832-3637","(819) 832-4480","","Claude.Roy@cshc.qc.ca","Générale","Public","Éducation des adultes","Estrie","Anglais, Français","751311","Commission scolaire des Hauts-Cantons","Chantal Leroux","188, rue Kennedy","East Angus (Québec)","J0B 1R0"
"École d'Audet","Préscolaire et primaire (public)","Audet","(819) 583-1664","(819) 583-1664","(819) 583-3003","","Diane.Corriveau@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751079","Commission scolaire des Hauts-Cantons","Annie Deslongchamps","242, rue Principale","Audet (Québec)","G0Y 1A0"
"Collège Notre-Dame-des-Servites","Secondaire (privé)","Ayer's Cliff","(819) 838-4221","(819) 838-4221","(819) 838-4222","http://www.cnds.qc.ca","courrier@cnds.qc.ca","Générale","Privé","Secondaire","Estrie","Français","129501","Collège Notre-Dame-des-Servites","Carl Morissette","470, rue Main","Ayer's Cliff (Québec)","J0B 1C0"
